Bin	Sequences	Proportion	Patterns	Percent Full
truncated_left	9981.0	0.9979004199160167	561	99.98497144574692%
other	17.0	0.0016996600679864027	18	0.0%
untileable_sequences	4.0	0.0003999200159968006	0	0.0%
Totals	10002.0	0.9999999999999999	579


Subclassification	Sequences	Proportion of Sample	Tile Patterns	Proportion with a Full Payload
truncated_left	9981.0	0.9979	561	0.9998497144574692
Subclassification	Sequence Count	Repeats	Proportion of truncated_left	Linearity	Contains Irregular ITRs	Contains PolyX	Contains a Full Payload	Tokenized	Tile Pattern
truncated_left	2.0	0	0.00020038072337441137	forward_linear	True	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
truncated_left	2.0	0	0.00020038072337441137	forward_linear	True	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-164](-)
truncated_left	2.0	0	0.00020038072337441137	forward_linear	True	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
truncated_left	2.0	0	0.00020038072337441137	forward_linear	True	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-163](-)
truncated_left	2.0	0	0.00020038072337441137	forward_linear	True	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
truncated_left	2.0	0	0.00020038072337441137	forward_linear	True	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-162](-)
truncated_left	2.0	0	0.00020038072337441137	forward_linear	True	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
truncated_left	2.0	0	0.00020038072337441137	forward_linear	True	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[20-165](-)
truncated_left	2.0	0	0.00020038072337441137	forward_linear	False	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-165](-)
truncated_left	2.0	0	0.00020038072337441137	forward_linear	False	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-164](-)
truncated_left	2.0	0	0.00020038072337441137	forward_linear	True	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
truncated_left	2.0	0	0.00020038072337441137	forward_linear	True	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-164](-) ITR-FLIP[21-165](-)
truncated_left	2.0	0	0.00020038072337441137	forward_linear	False	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-161](-)
truncated_left	2.0	0	0.00020038072337441137	reverse_linear	False	False	True	P I	Payload[1-2864](-) ITR-FLIP[22-165](+)
truncated_left	2.0	0	0.00020038072337441137	forward_linear	True	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-163](-) ITR-FLIP[21-165](-)
truncated_left	2.0	0	0.00020038072337441137	reverse_linear	True	False	True	P I	Payload[1-2864](-) ITR-FLIP[22-165](+) ITR-FLIP[21-165](+)
truncated_left	1.5	0	0.00015028554253080853	reverse_linear	False	False	True	P I	Payload[5-2864](-) ITR-FLIP[22-165](+)
truncated_left	1.5	0	0.00015028554253080853	forward_linear	False	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-165](-)
truncated_left	1.5	0	0.00015028554253080853	forward_linear	False	False	True	P I	Payload[1-2865](+) ITR-FLIP[23-165](-)
truncated_left	1.5	0	0.00015028554253080853	forward_linear	False	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-165](-)
truncated_left	1.5	0	0.00015028554253080853	forward_linear	False	False	True	P I	Payload[1-2865](+) ITR-FLIP[22-165](-)
truncated_left	1.5	0	0.00015028554253080853	forward_linear	False	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-165](-)
truncated_left	1.5	0	0.00015028554253080853	forward_linear	True	False	True	P I	Payload[3-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
truncated_left	1.5	0	0.00015028554253080853	forward_linear	True	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
truncated_left	1.5	0	0.00015028554253080853	forward_linear	True	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
truncated_left	1.5	0	0.00015028554253080853	forward_linear	True	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-161](-)
truncated_left	1.5	0	0.00015028554253080853	forward_linear	True	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
truncated_left	1.5	0	0.00015028554253080853	forward_linear	True	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-162](-) ITR-FLIP[21-165](-)
truncated_left	1.5	0	0.00015028554253080853	forward_linear	False	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-165](-)
truncated_left	1.5	0	0.00015028554253080853	forward_linear	False	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-161](-)
truncated_left	1.5	0	0.00015028554253080853	forward_linear	True	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
truncated_left	1.5	0	0.00015028554253080853	forward_linear	True	False	True	P I	Payload[1-2865](+) ITR-FLIP[19-165](-) ITR-FLIP[21-165](-)
truncated_left	1.5	0	0.00015028554253080853	forward_linear	False	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-165](-)
truncated_left	1.5	0	0.00015028554253080853	reverse_linear	False	False	True	P I	Payload[1-2864](-) ITR-FLIP[25-165](+)
truncated_left	1.5	0	0.00015028554253080853	forward_linear	False	False	True	P I	Payload[3-2865](+) ITR-FLIP[21-165](-)
truncated_left	1.5	0	0.00015028554253080853	reverse_linear	False	False	True	P I	Payload[1-2864](-) ITR-FLIP[22-165](+)
truncated_left	1.5	0	0.00015028554253080853	forward_linear	True	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
truncated_left	1.5	0	0.00015028554253080853	reverse_linear	True	False	True	P I	Payload[1-2864](-) ITR-FLIP[22-165](+) ITR-FLIP[23-165](+)
truncated_left	1.5	0	0.00015028554253080853	reverse_linear	True	False	True	P I	Payload[1-2864](-) ITR-FLIP[22-165](+) ITR-FLIP[21-165](+)
truncated_left	1.5	0	0.00015028554253080853	forward_linear	True	False	True	P I	Payload[1-2863](+) ITR-FLIP[21-165](-) ITR-FLIP[21-165](-)
truncated_left	1.5	0	0.00015028554253080853	forward_linear	False	False	True	P I	Payload[1-2865](+) ITR-FLIP[21-165](-)
truncated_left	1.5	0	0.00015028554253080853	forward_linear	False	False	True	P I	Payload[1-2862](+) ITR-FLIP[21-165](-)
truncated_left	1.0	0	0.00010019036168720569	forward_linear	False	False	True	P I	Payload[6-2863](+) ITR-FLIP[21-165](-)
truncated_left	1.0	0	0.00010019036168720569	forward_linear	False	False	True	P I	Payload[5-2865](+) ITR-FLIP[25-165](-)
truncated_left	1.0	0	0.00010019036168720569	forward_linear	False	False	True	P I	Payload[5-2865](+) ITR-FLIP[24-165](-)
truncated_left	1.0	0	0.00010019036168720569	forward_linear	False	False	True	P I	Payload[5-2865](+) ITR-FLIP[24-163](-)
truncated_left	1.0	0	0.00010019036168720569	forward_linear	True	False	True	P I	Payload[5-2865](+) ITR-FLIP[22-165](-) ITR-FLIP[22-165](-)
